model,seq,kf,iou,absdiff_med_mm,signed_med_mm,n_px,occ_ratio
MD-map,AP12,0089,0.559613704299839,1.3051778078079224,-0.3098100423812866,58958,0.559613704299839
MD-map,AP12,0094,0.5546642445389713,1.8618106842041016,-1.6388297080993652,60211,0.5546642445389713
MD-map,AP12,0099,0.5443650953209269,2.4429707527160645,-2.1971166133880615,60982,0.5443650953209269
MD-map,AP12,0103,0.531053897132133,2.320751667022705,-2.083033323287964,62104,0.531053897132133
MD-map,AP12,0108,0.5197626713126139,2.4556517601013184,-2.2031068801879883,62541,0.5197626713126139
MD-map,AP12,0114,0.5065445525663042,2.7177929878234863,-2.54136323928833,62703,0.5065445525663042
MD-map,AP12,0120,0.5056420479481095,3.326922655105591,-3.2700002193450928,62555,0.5056420479481095
MD-map,AP12,0127,0.5017294712132625,4.186079025268555,-4.1395721435546875,61884,0.5017294712132625
MD-map,AP12,0134,0.49041074396080137,4.52604866027832,-4.5094194412231445,61501,0.49041074396080137
MD-map,AP12,0180,0.5080254445944677,3.5653114318847656,-3.418788433074951,68754,0.5080254445944677
MD-map,AP12,0187,0.5298075083234473,2.7590842247009277,-2.5282204151153564,67830,0.5298075083234473
MD-map,AP12,0190,0.5385111677778119,2.562403678894043,-2.283424139022827,68450,0.5385111677778119
MD-map,AP12,0195,0.5448760440143179,2.140730619430542,-1.5056729316711426,68287,0.5448760440143179
MD-map,AP12,0202,0.5458764006580377,1.7450302839279175,-1.4401674270629883,67702,0.5458764006580377
MD-map,AP12,0205,0.5470638702066705,1.8084943294525146,-1.6157031059265137,68929,0.5470638702066705
MD-map,AP12,0209,0.5408272111296405,2.8978288173675537,-2.7811975479125977,69086,0.5408272111296405
MD-map,AP12,0212,0.5358551663232264,2.429574728012085,-2.3588240146636963,69372,0.5358551663232264
MD-map,AP12,0214,0.5407129895217467,2.3363380432128906,-2.3037643432617188,70836,0.5407129895217467
MD-map,AP12,0219,0.5556726643077619,1.9979774951934814,-1.8750429153442383,70859,0.5556726643077619
MD-map,AP12,0223,0.5727948822991838,1.4087259769439697,-0.4054605960845947,69595,0.5727948822991838
MD-map,AP12,0226,0.5873339895754329,1.214534044265747,-0.6805956363677979,68341,0.5873339895754329
MD-map,AP12,0228,0.6059487316555716,2.0741372108459473,-1.5328526496887207,67932,0.6059487316555716
MD-map,AP12,0233,0.6144181111958685,2.0641236305236816,-1.7237216234207153,67336,0.6157356218957861
MD-map,AP12,0238,0.6268108679410318,2.2971034049987793,-2.038806676864624,66401,0.6268108679410318
MD-map,AP12,0241,0.6379676369297542,2.8440654277801514,-2.7222037315368652,65621,0.6385241956035451
MD-map,AP12,0243,0.6433748463823652,3.3802390098571777,-3.183305263519287,65275,0.6433748463823652
MD-map,AP12,0245,0.6314659691091165,5.460187911987305,-5.364954471588135,62584,0.6314659691091165
MD-map,AP12,0248,0.6326849709175058,3.688693046569824,-3.413945436477661,60348,0.6326849709175058
MD-map,AP12,0251,0.6342011771567951,3.616854667663574,-3.3611655235290527,59510,0.6342011771567951
MD-map,AP12,0255,0.6254308615172499,2.9768199920654297,-2.5047659873962402,60428,0.6254308615172499
MD-map,AP12,0260,0.6203697251450927,3.528088331222534,-3.372624397277832,61902,0.6203697251450927
MD-map,AP12,0263,0.6175404430904499,4.243254661560059,-4.092067718505859,62057,0.6175560375994216
MD-map,AP12,0266,0.6170317873496608,4.632174968719482,-4.549607753753662,61836,0.6170932375686409
MD-map,AP12,0270,0.6183720753570343,5.461692810058594,-5.401700973510742,60305,0.6184796543374009
MD-map,AP12,0276,0.6217537687491724,5.020573616027832,-4.91468620300293,59294,0.6219838634923337
MD-map,AP12,0280,0.6246216037481022,5.323439598083496,-5.23051643371582,57447,0.6246216037481022
MD-map,AP12,0284,0.6181129444999862,5.503654479980469,-5.438939094543457,56192,0.6181129444999862
MD-map,AP12,0295,0.617619685801504,5.342632293701172,-5.118638038635254,58167,0.617710020290017
MD-map,AP12,0302,0.6104896936141558,6.229281425476074,-6.126552581787109,57509,0.6105650071549491
MD-map,AP12,0308,0.592932010537526,8.363932609558105,-8.358329772949219,60987,0.5938998513754778
